username,date,Helpful count,stars,review title,Review text,Badges,Top Contributor
Dorjean,"Reviewed in the United States on August 20, 2012",,5.0 out of 5 stars,"Fantastic ""Girl Who...."" Trilogy","I bought Larsson's first book, The Girl With The Dragon Tattoo and loved it - had to use my Kindle light when I couldn't put it down when I was supposed to be sleeping - and I quickly ordered this one - and then the final ... Hornets Nest ... and all of them pleased, excited, delighted me, and I was happy with the way he tied all of the pieces together from book to book.  I was hoping there'd be more to read from this great author, so I was sorry to learn that he'd died after finishing these three books, but I'm thankful that he got to write them and publish them, because they gave me so much pleasure.",,
Bleu Anchor,"Reviewed in the United States on August 22, 2013",,5.0 out of 5 stars,Damn shame Stieg Larsson passed away!,"This series is simply wonderful! If you haven't read them yet, get to it! They present characters you've never read about before in a story that you've never heard before. The only drawback (if it can be called that) is that you have to read all of the books and you have to read them in order. This is less of a series and more of a single story divided into sections. However, it's a story that you'll love and get completely invested in. It would be nice to see these characters (Lisbeth Salander and Mikael Blomqvist) in a television series. It would certainly rival the greats like Law & Order and CSI.",,
Elizabeth,"Reviewed in the United States on August 16, 2009",3 people found this helpful,5.0 out of 5 stars,Impossibly better than The Girl with the Dragon Tattoo!,"First things first. If you haven't read The Girl with the Dragon Tattoo, don't even think about buying this book. Don't even read the reviews. One small bit of information will ruin the entire plot for you. If have read the first novel, then prepare yourself because The Girl Who Played with Fire will blow you away.The Girl with the Dragon Tattoo focused on the disappearance of Harriet Vanger, but this novel focuses on Lisbeth Salander. Who she is. Where she came from, and more importantly why she was declared incompetent and placed in a mental institution.The novel picks up a year after the Vanger events. Lisbeth decided to travel around the world for a while. Mikael Blomkvist tries to contact her, but it's like Lisbeth has fallen off the face of the earth. So it seems!Meanwhile, Mikael is back at Millennium when a scoop that involves corruption at the highest levels of government is offered to him. However, before Mikael can publish a book exposing a sex scandal that involves, police officers, judges, lawyers, and goverment officials, two shocking murders take place. The main suspect is Lisbeth Salander. The Girl with Dragon Tattoo becomes the most wanted woman in Sweden. Her fingerprints were found on the weapon, and everyone believes she is guilty of murder, except for Mikael.I read The Girl who Played with Fire with bated breath. I expected to be slightly disappointed because I didn't think it was possible for a sequel to top The Girl with the Dragon Tattoo. I was wrong! I actually think this novel is slightly better than the previous novel. In the first book, I had a strong suspicion about what happened to Harriet Vanger. In this novel, I didn't have the slightest clue how or why Lisbeth Salander was mixed up the double murders.As in The Girl with the Dragon Tattoo, there are many characters in this book. This is usually a strike against a book. Too many characters usually takes away from the main storyline, but Stieg Larsson made it work his first novel and did it again in The Girl who Played with Fire. Prepare to meet many police officers, detectives, journalists, and criminals.The author's untimely death is so tragic. He was a gifted writer and would have become one of my favorite authors of all time. If you haven't already, you must read both books written by this author.  I understand that there is a third book called The Girl who Kicked the Hornet's Nest. Unfortunately, it has not been translated into English yet. I plan to purchase it the day it is released. Amazing author and amazing books!",,
danzigyy,"Reviewed in the United States on August 7, 2010",,4.0 out of 5 stars,Review for Teenagers,"If you're a teenager, this review is for you.You should read my review about The Girl With the Dragon Tatoo first because much of the stuff i said applies in this second installment. I really like the story line but it was kind of confusing because I'm only fourteen and I dont know a whole lot about the Swedish government and if I did maybe it would help me understand more. Never the less, I found that I still understood the end of the story even without that knowledge so I wouldnt fret about it. I would leave this book to the 15+ year olds just for violence and sexual content also.It was suspensful and I am currently in the process of reading the third book.I liked the first book better than this one and I've found that I reallly like the third one too but I would not advise you to skip the second one because the third one is alllll about the second one (if that makes ANY sense at all). Look for my review of The Girl Who Kicked the Hornet's Nest coming soon.",,
J. Grattan,"Reviewed in the United States on September 13, 2009",,4.0 out of 5 stars,Lisbeth Salander as the hunted this time (4.5*s),"This book continues with the story of twenty-six-year-old Lisbeth Salander, first introduced in ""The Girl with the Dragoon Tatto."" She is surely one of most interesting and strange characters introduced in crime fiction in recent years with her reclusive, punk, misfit motif but with computer and survival skills off the chart, especially for someone officially declared as incompetent and in need of state-mandated guardianship. She has changed some from her days of working as a researcher for journalist Carl Blomkist in his search for a woman missing some forty years. Secondarily in the first book, she parlayed her computer skills to rake off a small fortune from the ill-gotten gains of Swedish industrialist Hans Wennestrom before his exposure and has thereby bettered her living circumstances with no less care being given to anonymity.But life takes a dramatic turn for the worse for Salander when she is identified as the prime suspect in the murder of three individuals: her guardian, a freelance journalist Dag Svensson, and his roommate Mia Johansson, a sex researcher, which conveniently fits with her diagnosis of being capable of psychotic, violent behavior. Svensson was on the verge of publishing an expose of sex-trafficking in Blomkist's magazine Millennium with many leading Swedish citizens on the list. But what was the connection of Salander to the journalist and/or the sex-business and how was her guardian involved with all of this?The book is a fast-paced, though lengthy, unraveling of these complications. A lot of missteps are taken by Swedish police, some more well-intentioned than others. There is a contradiction from the start for the authorities: Blomkist and others familiar with Salander speak of her extraordinary intelligence and sense of morality, which hardly squares with the psychiatric evaluations. Salander has to walk the tightrope of avoiding capture or arrest while being proactive in proving her innocence. It turns out that much of her past, both recent and early, pertains. The enigmatic Lisbeth is slowly revealed adding credibility to her bizarre personality, as well as moving towards a conclusion.A reading of the first book is not totally necessary to fully appreciate this book, though it would be helpful. The cautious attraction of Blomkist and Salander that got sidetracked by the end of the first book is in a deep freeze, but this case has the potential for changing all of that. Salander needs allies, and Blomkist is at the top of the list.Perhaps the Swedish names can be a distraction, but the real story is about human interactions, not names of places. This second book of a three-part series is as good as the first - perhaps better. The writing is sharp - not just of the characters but of the scenarios in which Blomkist and Salander find themselves. One could nitpick the plot with its coincidences, implausibilities, loose ends, and the like. But the reason to read the book is to watch Lisbeth Salander in action. And there are remaining issues for book three.",VINE VOICE,
Elam Family,"Reviewed in the United States on July 21, 2015",,5.0 out of 5 stars,Loved every word of this book.  You have to read it!,"I absolutely love this series and I tell everyone to read it.  I tore through this book - I couldn't put it down.  There were so many pieces to the puzzle and it was wonderful to see how they all came together in the end.  It was not predictable at all and the characters were well-developed - as a reader, I really felt like I got to know them.  I wish there were more books in the series; I would devour those, too.",,
D. Blum,"Reviewed in the United States on October 9, 2010",,4.0 out of 5 stars,More of a Salander character study than the first book,"This novel is a stand alone story occurring after, but not necessarily tied to, the first novel. Its deeper character study of Salander is intriguing, but is more of a straightforward detective novel than the first with its multi-storied approach (Harriet Vanger, the Vanger family secrets, and Wennstrom stories all coming together to multiple conclusions).By contrast, this one seems to leave off after one mystery is solved, but with a central character still in crisis. That indicates the third book continues with this story. It's certainly well-written and paced, but not as satisfying nor as complex as the brilliant first novel.",,
Charles LaBorde,"Reviewed in the United States on March 1, 2010",,5.0 out of 5 stars,Larsson Does It Again,"Larsson does the seemingly impossible--he improves on his masterful first novel in the series with this volume that expands our understanding of his characters, juggles even more story lines, and leaves us with a tremendous sense of anticipation for the concluding volume.If you have not yet discovered this great series, go back to volume one, ""The Girl with the Dragon Tattoo"" and get ready for the read of a lifetime for mystery buffs.  This trilogy truly ranks with the great achievements of the genre--the best of Doyle, Hammett, Chandler, and Macdonald.  The three novels deserve a place on your bookshelf beside ""The Hound of the Baskervilles,"" ""The Maltese Falcon,"" ""Farewell, My Lovely,"" and ""The Chill"" and--taken together--may even top that list.",,
UNKQTY,"Reviewed in the United States on September 22, 2012",,3.0 out of 5 stars,E-version for Kindle - Good Book But Not Really Money's Worth,"Warning - trilogy is quite violent and graphic; may be a bit much for sensitive readers.Good book if you're used to the dark undertones and sometimes awkward translation (from Swedish). Recommend all of the trilogy (Dragon Tattoo, Played With Fire, Kicked the Hornets' Nest) but recommend not reading out of order/sequence.Couldn't find the book while traveling so purchased relatively pricey E-version.  Pro: Downloaded promptly and was everything vendor stated.Con: Cost as much if not more than the book but isn't as transferable.  I only read fiction once so can't recoup or resell.Wouldn't you know I ran across the softback version in a thrift store a few days after finishing on Kindle.  As the saying goes: ""Want it bad-Get it bad""",,
Aviott John,"Reviewed in the United States on June 18, 2014",,5.0 out of 5 stars,The second book in Stig Larsson's 5-star trilogy,"This is the second book in the series and continues the captivating, often violent, never boring, adventures of Lisbeth Salander, the sullen, rebellious heroine of Stig Larsson's best-selling trilogy. I approached these three books cautiously 3 years ago, put off by the bestsellerdom and the hype that surrounded the books. Once I began (with the Girl with the Dragon Tatoo) I was hooked. My advice to other cautious readers: set caution aside and read the books. You won't regret it.",,
anonymous gal,"Reviewed in the United States on May 29, 2019",,5.0 out of 5 stars,Awesome talent,"Wildly exciting drama in every chapter. Wish you were still around. Thank you, though. I have to read them all. Wish I could write one.",,
W. L. LaCroix,"Reviewed in the United States on March 6, 2019",,5.0 out of 5 stars,Engrossing,"This series is so good.  I read them during our move from Montana to Costa Rica.  If not for the distraction of these books, I don't know how I would have gotten through it!",,
MM,"Reviewed in the United States on December 28, 2010",5 people found this helpful,3.0 out of 5 stars,Sophomoric slump,"""The Girl Who Played With Fire"" is one of those infuriating books which are not quite bad enough to abandon.To be clear, crime fiction is not a genre I typically read, and I started ""Tattoo"" solely for some mindless diversion while on a family vacation.  Like other readers, I was intrigued by the Lisbeth Salander character, even if other aspects of Stieg Larsson's first novel seemed less interesting.  However, in the second book of his trilogy, the author demonstrates that his inspired choice of heroine was pretty much the only good idea he had - and then he manages to squander that one.""Fire"" makes it abundantly clear that despite all the love the Larsson trilogy is receiving on bestseller lists, the whole series is simply a Nordic-inflected blast of cheesy pop fiction.  However, rather than throw it aside and move on to more rewarding material, I continued to read the lengthy second novel, albeit with increasing dissatisfaction and annoyance - hardly a ringing endorsement, but there it is.Among my complaints:- In the first novel, Salander was an undersized, dysfunctional loser with a random handful of capabilities that made her an improbable heroine.  She was interesting.  In ""Fire"", she's a cartoon superhero who suddenly sports a resume to make Lara Croft envious: she's a math savant on a Harley, a ninja-quick street fighter who dispatches bad guys with aplomb, and a misunderstood outcast shouldering a ludicrously dysfunctional family history.- Larsson's inexplicable insistence on specifying computers, cell phones, PDAs (really, PDAs?), and seemingly the entire IKEA catalog by model names inevitably makes his writing sound amateurish and outdated.- Too many bit-part actors!  Some of this may be due to my lack of familiarity with Scandinavian surnames, but the confusing stream of cops, journalists, and thugs did little to advance the already-muddled plot.The most damning indictment of all?  Despite my kvetching and disappointment in how thoroughly Larsson brought his promising debut novel crashing back to earth in ""Fire"", I bought the third and final book of the series.  Hope springs eternal.",,
Steven Peterson,"Reviewed in the United States on June 11, 2010",2 people found this helpful,5.0 out of 5 stars,"A riveting sequel to ""The Girl with the Dragon Tattoo""","This is a worthy successor to Stieg Larsson's first novel in the Millennium Trilogy. Larsson, in fact, projected ten volumes in the series, but--regrettably--died after the first three novels were completed. The positive note here is that the third volume serves to bring closure to many issues raised in the first two, so readers are not left hanging, although some story lines cry out for development (e.g., whatever happened to Lisbeth Salander's twin sister?).In the first volume, we saw the developing relationship between investigative reporter Mikael Blomkvist and Lisbeth Salander, computer hacker extraordinaire, possessed of a photographic memory, and absolutely brilliant in many ways. For instance, note her chess play with her former supervisor, Holger Palmgren. As the text notes (Pages 160-161): ""Salander sat there reading a book on the frequency calibration of radio telescopes in a weightless state. . .When Palmgren made his move she glanced up and moved her piece, apparently without studying the board, and went back to her back."" This (as well as the other two books) has various characters label her as being dysfunctional, whether exhibiting Asperger's or some other condition. Not likely, given her special abilities. Indeed, the book has it that she actually solves Fermat's theorem cleanly (a mathematical puzzle that took centuries for a faux solution).We begin, I think, to understand her social problems right at the outset. She is bound in an institution for the mentally ill after she had taken action as part of the ""All the Evil,"" in which she tossed a Molotov cocktail into a car being driven by the person who had brutally hurt her mother. The wretched monster? Let's call him Zala for now. . . . Instead of society treating her as a victim of viciousness (her mother had been brutalized by Zala over time), she is warehoused as a way of maintaining state secrets (Zala is protected by an office within Sweden's national intelligence apparatus).After the introduction alluded to above, we see Salander traveling the world, after having robbed a crooked billionaire of a portion of his fortune, thus making herself financially independent. She also distanced herself from Blomkvist, who had been her lover in the first novel, after he resumed his faithless ways (I see him as a bounder, to be honest--indeed, so does his sister, in her comments to Salander in the third book of the series). Blomkvist and his colleagues at Millennium magazine are working with Mia Johansson (a doctoral candidate) and Dag Svensson a freelance writer, readying a story on sex trafficking, the importation of women to serve as prostitutes in Sweden. This book, indeed the entire series, has a central focus on sexual politics, in sometimes the most tawdry terms. It is most explicit in this volume. It is also a work about government wrongdoing.A triple murder occurs--with Johannson and Svensson killed as well as Salander's ""overseer,"" maintaining contact with her because of her labeling as ""incompetent,"" Nils Bjurman. Salander's fingerprints are on the weapon used to kill all three, so she becomes the fugitive in a massive hunt for her. The story then hinges on a virtual partnership (by computer)  between Blomkvist and Salander. She refuses to see him after what she sees as his betrayal of her--although she also notes that he had behaved decently toward her. But she is willing to help him in his investigation of the murders of Johansson-Svensson and in his effort to vindicate her.There are some amazing scenes here, including the one where she takes on two powerful bikers and leaves them whimpering (you have to read this!). As Palmgren said at one point, if you point a gun at Salander, she'll find a bigger gun.There is a touching moment as she heads off to confront Zala (whose relationship with her adds an extra dimension of dramatic tension) and a giant blonde, the latter of whom is seemingly immune to pain. Before she begins her quest, Salander wants to tell Blomqvist via e-mail that she had been in love with him, but can't bear admitting. So, she simply says to him (Page 563): ""Thanks for being my friend.""Then, she moves to confront Zala (no spoiler here, but he is the one whom she threw the Molotov cocktail at when she was 12). Blomkvist, nervous at her last e-mail, thinking she was taking off to confront evil and even perish, tries to follow her. There is a horrific confrontation, with Salander miraculously escaping an extraordinarily perilous situation before getting a degree of revenge. But, she has been badly hurt, Blomqvist gets her airlifted for medical care, and we wait for the third book in the series, wondering what will come next.",VINE VOICE,Top Contributor: Baseball
William Capodanno,"Reviewed in the United States on July 5, 2010",One person found this helpful,5.0 out of 5 stars,"This is one ""Fire"" You Want to Play With","I took some time between reading ""TGWTDT"" several years ago and ""The Girl Who Played with Fire"" which I just completed.  Larsson's second book in the trilogy does not disappoint and in my estimation even one-ups the first book.  Again, Lisbeth Salander and Mikael Blomquist are the central characters, althoug this time Salander becomes the hunted vs. the hunter.Larsson once again does a great job building the arc of the story over the first 100 or so pages rather than jumping in right from page one.  Lisbeth is traveling the world for 18 months on the hacked money and Blomquist and ""Millenium"" are working with a couple who are writing a novel and dissertation respectively on corruption and Eastern European prostitution ring in Sweden.  However, before it is published, both are murdered and Lisbeth winds up being a prime suspect for coincedental evidence found at the crime scene.It is amazing that Larsson can sustain the pace and plot twists over the course of nearly 600 pages.  In my mind, he crafts an even more engaging rollercoaster ride this go round.  Part of the reason is that Larsson begins to unravel the enigma and mystery that is Lisbeth by revealing the circumstances of her troubled youth.  While ""Dragon Tattoo"" gave us a glimpse into the master canvas he was painting, ""The Girl Who Played with Fire"" enabled us to see the master brush strokes and the vivid detail this great artist could achieve at the peak of his artistry.The only disappointment I had was that once I finished ""The Girl who Played with Fire"", I only had the the final novel in the trilogy to look forward to.  Having crafted two mesmerizingly entertaining books with the unlikeliest heroine, and knowing that he planned to write not 3 but 10 books in the series before his untimely death, one only wished that Larsson had lived to further entertain and surprise us.",VINE VOICE,
Jmaynard,"Reviewed in the United States on October 15, 2010",2 people found this helpful,3.0 out of 5 stars,Frustrating...,"A lot of my dissatisfaction with this book is because I thought the three books were independent mysteries.  Dragon Tattoo was a great story with a definitive conclusion.  However, this book is mainly a set-up for book 3 and has a massive cliffhanger ending.  The cliffhanger would not have been an automatic disappointment if the book had been a well-developed story, but it wasn't. This read like a bloated ""middle"" - half the book passes before the mystery is truly introduced, and again the author is excessive in giving unnecessary details.  Part of the problem is Lisbeth Salander.  In Tattoo, Blomkvist was the main character upon which the narrative focused and she was an intriguing, mystifying secondary character.  In Fire, she takes center stage and it doesn't work.  The first third of the book was following her around on a world trip seeing how she views the world.  But Tattoo already made it clear she's very different, I was quickly bored following her around with no focus.Once Blomkvist begins working with another journalist on a sex ring expose, and said journalist is murdered, the book did pick up. But, it went from boring to frustrating.  Lisbeth is the main suspect; a man-hunt for her is on.  Yet, the author spent too much time describing the clash of personalities within the police investigation, introducing new characters, and very little time actually advancing the mystery.  We go from following Lisbeth on her travels to having her every mundane action described (e.g. one full page tells readers she woke, made a pizza, took a shower, changed, straightened up, went back to bed, etc).  The ""conclusion"" quickly made it apparent that the mystery was never meant to be solved for this book.  The last few chapters were lightning fast, action-packed and revealed a lot of surprises and then slammed readers with the cliffhanger.  Two-thirds of this book could have been discarded (and I did skim a lot) and the rest added to the beginning of Hornet's Nest.Overall, though I disappointed, I'm still interested in the characters and the mystery.  However, this book left me feeling frustrated and not excited to move onto the last book.  I will read it, but I'm not in a rush.  Recommended to patient readers who liked the characters, and who have book 3 on hand and ready to start.",TOP 1000 REVIEWER,
Nancy O,"Reviewed in the United States on September 8, 2009",One person found this helpful,5.0 out of 5 stars,a solid sequel you won't want to put down,"This book is the second of three in Larsson's series featuring Lisbeth Salander, the young woman who has her own sense of morality and acts on it accordingly.  As this book opens, we find young Lisbeth in the Caribbean after the events of The Girl With the Dragon Tattoo.  Meanwhile, the erstwhile reporter Kalle Blomkvist and the team at Millennium are sitting on top of a goldmine of a story. With the help of a woman who is finishing her  PhD thesis and that of her husband, who is writing a book based on her findings,  Blomkvist is ready to publicly uncover a scandal in which some high-ranking officials are involved in sex trafficking from Russia and other parts of eastern Europe into Sweden.  Eventually Lisbeth returns home, and goes into hiding.  After a triple homicide, the police become interested in finding her (as does Blomkvist) because the clues at the murder scenes lead directly back to her.  At this point, Blomkvist, who is absolutely convinced that Lisbeth is innocent, begins his own investigation, working from a different starting point than that of the police.I love Lisbeth's character -- she refuses to be a victim even though her life is on the line.  She's a take-charge kind of person, apologizing to no one, and she is definitely an example of someone whose past has created her present.  She's a heroine unlike any other you'll find in crime writing -- very flawed, dark, unafraid, with a sense of morality that she acts on even if it goes against the social grain.  There are very few people in her life whom she trusts, and definitely has no love for official institutions. The book is fast paced, with never a dull moment, and is a solid sequel to Girl With the Dragon Tattoo.  I would definitely recommend that anyone thinking about this book start with Girl With the Dragon Tattoo, because there are a number of references in the 2nd book that you won't understand if you don't, and because once things start unraveling, you need to have the background of events from the first book, especially with the relationship between Lisbeth and Blomkvist.Girl Who Played With Fire leaves some things hanging, which I'm sure will be picked up in the upcoming third book (hopefully, since it's the last one).  I would recommend it to anyone who wants a good, solid mystery novel and who doesn't mind that the characters are all a bit flawed.  Not a cozy mystery at all, so if that's what you're looking for, skip it.  Otherwise, sit back and try to clear your day because you won't want to put this one down. Fans of Scandinavian crime novels will absolutely not be disappointed.",,
Ronald H. Clark,"Reviewed in the United States on June 7, 2010",One person found this helpful,5.0 out of 5 stars,Act II is even better than Act I,"This obviously is the second volume in the much praised trilogy by Stieg Larsson.  It is interesting because it just continues the story begun in the first volume. Believe me, it is absolutely necessary to have read the initial volume before tackling this 630-page thriller.  This book is both similar to but also different from its predecessor. Once again Larsson takes his time in setting the stage for what is to come; it is not until around page 220 that the story really begins to take off. That most fascinating creation of the author, Lisbeth Salander, once again is a key focus of the novel, and this time she is really the central character.  So we learn a great deal more about her than from the first volume.  Journalist Mikael Blomkvist also reappears, but he is definitely a secondary character to Salander, which is just the reverse of the first volume. I still have trouble keeping straight all these folks with similar Swedish names but that is my problem. The story line is once again very well developed, but this one is somewhat more complex than the first volume.Where the two books differ is that this one is much more the traditional murder mystery than its predecessor.  It also becomes a real ""page-turner"" of much more potency than the earlier book.  From about page 220 to the end at page 630, it is difficult to do anything else in your life but keep reading--it really moves and holds the reader. We have the more traditional story focusing upon a group of people trying to interpret various clues that pop up; there is a national dragnet in operation and its principal target proves too elusive for even crackerjack Swedish police experts to succeed in apprehension; and there is graphic and somewhat surprising violence, even more so than the earlier volume. Although I found the first 220 pages somewhat slower and less interesting than the beginning section of the first volume, the book as a whole is the better of the two in terms of suspense and emotion.I read with amazement many times that folks were so determined to find out what happened to the central characters in the third (and perhaps) final volume, that they were paying $200 to order copies from overseas before it was published here. Now I understand why; fortunately the third volume is now available in this country in hardcover and is not expensive.  The trilogy is a remarkable accomplishment by the late author. The story also translates very well to the screen, I note, having just seen ""The Girl with the Dragon Tattoo"" over the weekend. The film version of this volume is about to hit American screens as well.  In fact, the movie sort of let the cat out of the bag on several points that really only appear in this second volume, so don't be surprised if you see it. In the future, whenever I hear a book described as a ""thriller,"" I will know that I already have read an incomparable masterpiece of the genre.",,
Amy Bailey,"Reviewed in the United States on May 6, 2015",,5.0 out of 5 stars,too perfect for words!!,"I watched the movie, The Girl with the Dragon Tattoo then decided to buy this book to seewhat else happens in the series. All I can say is WOW! As amazing as that movie was, this book is head and shoulders even better!! Now I've got to go back and read Book One.And if you've already bought this in your kindle, be sure to also get the audible version so you can listen to it as well. The reader is British and absolutely sublime!!",,
Terry Mesnard,"Reviewed in the United States on October 20, 2009",One person found this helpful,5.0 out of 5 stars,Surprisingly better than the original,"How do you top a book that was excellently plotted, filled with memorable characters and an intriguing mystery?  Apparently, by changing up the formula, filling out the already great characters with even more character and spinning a mystery that's more devilish, more immediate and more character-driven than before.  In The Girl with the Dragon Tattoo, Stieg Larsson created an excellent book that marked the beginning of a great author whose life was cut tragically short.  The Girl Who Played with Fire cements his status as a premiere thriller writer.  For those who haven't read the first book, beware because this review will obviously discuss the first book.At the end of Tattoo, our two characters Blomkvist and Salander have had a falling out and haven't spoken to each other.  Meanwhile, Bjurman, the evil sadist who was a minor yet insidious character in Tattoo, is still fuming over Salander's way of getting back at him by branding him as the sadist he is and holding onto a tape documenting his evilness.  The Girl Who Played with Fire starts out with a few different story strands like Tattoo.  Also, like Tattoo these apparently divergent stories end up colliding in shocking ways.  You have Salander's mysterious story, Bjurman's attempt to get rid of Salander on one hand.  On the other, there's the Millennium paper side of things that is going to publish a book on sex trafficing that will expose a variety of members in Swedish culture as being a part of it.  The stories converge in a shocking sequence of violence that propels the rest of the story forward.Unlike Tattoo, The Girl Who Played with Fire's story is much more immediate and character driven.  It delves more into Salander's character and answers many questions fans will have had when they finished the first book.  It's also much better paced and written.  One of the complaints I had about the first novel was that a lot of paragraphs had poor transitions into each other, making some sections feel more like vignettes than an interconnected story.  Fire plays out much better and the transitions were much smoother.  One area that tended to break my connection to the story were sometimes stupid characters.  At times, characters do thinks that seem to be more for the sake of moving the plot forward than for anything realistic.  Sometimes obvious clues are missed and other times the characters (particularly the police) seem completely ill suited for their jobs.  That said, character development for Salander is front and center, this time, and her story is one with quite a few little twists and turns.  Unlike Tattoo, where I figured out the central mystery pretty quickly into it, Fire surprised me multiple times in the direction it took.  My recommendation is to know as little about the story as possible and just let it take you along its tumultuous journey.I was really surprised with The Girl Who Played with Fire.  It upped the ante in terms of storytelling and pacing and presented some shocking situations that really sold me on Larsson's ability as an author.  I also really enjoyed Larsson's framing of the story as an algebraic equation.  Much like his use of statistics for the previous novel, Larsson uses an algebraic equation to introduce the sections and while it's not as obvious a connection as the stats, it becomes an ingenious framing device that sells the ending.  Like Tattoo, The Girl Who Played with Fire deals, once again, with Men Who Hate Women (as the Swedish original title indicates), but it tackles it in a larger purview.  An excellent read and a startling critique on Swedish society, it is a powerful thriller and one I'd recommend without a single reservation.",VINE VOICE,
Mal Warwick,"Reviewed in the United States on February 10, 2010",2 people found this helpful,4.0 out of 5 stars,A worthy sequel,"You have never met anyone like Lisbeth Salander, the ""girl"" in the title -- guaranteed. Lisbeth is a tattooed, waif-like young woman with a brain of gargantuan proportions, an eidetic memory, an unsurpassed mastery of the Internet, and a mysterious past. In this unlikely but engrossing story of murder and corruption in the dark corners of contemporary Sweden, Lisbeth's past is revealed in an encounter reminiscent of the games played out in the bowling alley of the gods.""The Girl Who Played with Fire"" is the second novel in a trilogy centered on Lisbeth Salander that launched with ""The Girl with the Dragon Tattoo"" and will conclude in May 2010 with ""The Girl Who Kicked in the Hornet's Nest."" Sadly, the author of this unique little crime series died shortly after delivering the manuscripts for all three novels in 2004. Larsson was the editor of a politically engaged magazine, much like Mikael Blomqvist, who figures in both this novel and its predecessor as Lisbeth's friend, foil, and sometime lover.The power of Larsson's spare prose and the extraordinary character of Lisbeth Salander vaulted ""The Girl with the Dragon Tattoo"" onto  best-seller lists internationally. Readers everywhere were captivated. There is much of the same experience in store for you in this sequel, but perhaps familiarity with the protagonists took the edge off my experience. I found this book slightly less satisfying than its predecessor, but I'm no less eagerly looking forward to its successor.(From Mal Warwick's Blog on Books)",TOP 500 REVIEWER,
Erin,"Reviewed in the United States on October 9, 2016",,5.0 out of 5 stars,Salander and Blomkvist return,"Stieg Larsson left the world with two of its most unlikely heroes. The Girl With the Dragon Tattoo introduced us to Mikael Blomkvist and the enigmatic Lisbeth Salander, but The Girl Who Played with Fire takes us back into the dark past that created Salander. Without spoiling the story, I will say that the intensity of the first book was only ramped up in the second, and you will be hanging onto every word until the very last page.",,
Ivo,"Reviewed in the United States on February 27, 2020",,5.0 out of 5 stars,High-pace suspense!,Try to breathe while reading this. Lisbeth sets the story with her insatiable thirst for adventure.,,
mindful,"Reviewed in the United States on November 30, 2010",One person found this helpful,5.0 out of 5 stars,Stieg Larsson's psychiatric acumen,"Stieg Larsson, who died rather suddenly and prematurely, will likely be missed by all who have read his millenium trilogy. Despite all the tongue twisting Swedish names for persons and places, Larsson's characters are brilliantly defined and real. Beyond that, the author has either put time into understanding psychodynamics and/or he's had professional inputs with re: his characterizations and his vivid portrayals of various of his characters pathologies as well as strengths. Lizbeth Salander is a most fascinating study. Though it is marginally suggested, both in The Girl With The Dragon Tattoo and The Girl Who Kicked The Hornet's Nest that Lizbeth might manifest Asperger's Syndrome, she indeed does manifest that disorder in my opinion. Yet, as in real life, it is tunnel-visioned to pidgeon hole and to perceive individuals as with solely one constellation of traits. And while it is ""easier"" to see someone in one way, as sociopathic by way of example, that person my truly be empathetic and available and caring in certain various circumstances. Larsson certainly portrayed such depth of understanding in developing his characters. He was also a wonderful story teller. I grieve that he is no longer with us, that he will no longer be writing.",,
Petra DeVerona,"Reviewed in the United States on December 23, 2013",,5.0 out of 5 stars,finally,"I rarely encounter recent books that really satisfy me. This book and its companions in the Millennium trilogy are exceptions. My only disappointment with the series is that there won't be any more. The characterization is wonderful, the plot excellent, and the action satisfying. It is a credit to the author that he could take as a protagonist someone whom I would likely never move in the same circles with in real life and make her a character that I really like and strongly sympathize with.",,
M. O'Connell,"Reviewed in the United States on April 30, 2010",,5.0 out of 5 stars,Could Not Put This Book Down!,"I was immediately caught up in this book.The storyline picked up right away, unlike Girl With The Dragon Tattoo which took a few chapters to grab my attention.There are so many wonderful and horrible characters in this book, that are brought to life by Larssons amazing writing abilities.This book definately has its focus on Salander, unlike the first book, and I grew to admire her character alot more this time around.This book is full of jaw dropping twists and gruesome violence.I can not wait to RE-read this book after I re-read Girl With The Dragon Tattoo one more time.READ THIS BOOK!",,
JV,"Reviewed in the United States on December 8, 2018",,4.0 out of 5 stars,Good second book,This was a very solid second book. Not as great as the first one but you get more details on many threads and it has a lot of twists and turns. I’m still baffled by how much people in Sweden love to drink coffee all day and night.,,
Steven,"Reviewed in the United States on September 9, 2013",,4.0 out of 5 stars,"Very interesting book, when it got into the story.","I Liked the web of intrigue & problem solving within the book. I enjoyed the drama of the situations and the suspense. I liked the story better than of the other big book suspense novels I have read (Jack R.). I didn't like the time spent going back on the prior novel, the Girl with the Dragoon Tattoo, as a set-up plot for this book. And, it was a little far fetched on the failure of the Police Vs private investigators in solving the plot. About a third of the way into the book, it really took off and got to be very interesting reading.",,
Dianne Hunter,"Reviewed in the United States on June 25, 2010",,4.0 out of 5 stars,Goth Vengeance in THE GIRL WHO PLAYED WITH FIRE,"This informative novel, written in Swedish c. 2004, brings the gothic genre up to date in its characterization of a goth avenger victimized by fallout in Sweden from Germany's invasion of Russia in World War II, the Russian military secret service, the Cold War and the end of the Soviet Union. The story, set mostly in Stockholm, investigates corruption, police procedures, journalism and media, computer hacking, misogyny, gangsters, and Swedish state secrets. The narrative techniques are cinematic and fast moving. The protagonist is original. The translation into English is idiomatic.  The dialogue seems authentic.",,
